dataset_id,split_id,scenario_id,severity,model_id,protocol,metric,oracle_labels,claim_scope,operational_ranking_eligible,mean,std,ci_lower,ci_upper,n_runs,n_training_seeds,n_graph_seeds,n_seed_cells,ci_method,source
yelpchi,r40_s0,camouflage_feature_oracle,0.0,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.4294401489071168,0.011108106651061444,0.4201066672355573,0.43704812868146553,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.3870107904835487,0.011773992375081796,0.3757017721609578,0.39893171921976534,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,sage,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.33686241843426973,0.010630097333359486,0.32622608897756006,0.3473833978998014,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.5573005662067334,0.018706383216090285,0.5437668293058349,0.5709124866038947,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.5018479080796154,0.01622737116955568,0.48792206702087854,0.5164782858267319,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,pmp,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.43865845344310506,0.015735480802164366,0.42559042264693414,0.45292851421095665,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.45104574600768627,0.028436244023018593,0.4290106928530847,0.47245757288471096,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.40749406830945994,0.024817657620130287,0.3841895802314712,0.4270438239134745,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.3,secgfd,train_clean_eval_all,average_precision,True,oracle_shift_sensitivity_diagnostic,False,0.35575746925965573,0.019751953921330643,0.33676863785656247,0.37150533202712765,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
yelpchi,r40_s0,camouflage_feature_oracle,0.0,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6582643139773169,0.01810777845313724,0.641941533044603,0.6672277752551701,5,5,1,5,crossed_training_graph_seed_bootstrap,clean
yelpchi,r40_s0,camouflage_feature_oracle,0.15,mlp,train_clean_eval_all,f1_macro,True,oracle_shift_sensitivity_diagnostic,False,0.6391898984728218,0.015210610916877296,0.6250167764437041,0.6507315972838605,10,5,2,10,crossed_training_graph_seed_bootstrap,scenario
