dataset_id,split_id,scenario_id,model_id,protocol,metric,oracle_labels,robustness_auc_mean,robustness_auc_std,robustness_auc_ci_lower,robustness_auc_ci_upper,robustness_avg_metric_mean,robustness_avg_metric_std,robustness_avg_metric_ci_lower,robustness_avg_metric_ci_upper,min_n_runs_per_severity
yelpchi,s0,heterophily_rewire_nonoracle,pmp,train_clean_eval_all,f1_macro,False,0.21008109122151303,0.0003659653412826828,0.20937461513333175,0.21079791072946408,0.7002703040717101,0.0012198844709422753,0.6979153837777725,0.702659702431547,3
yelpchi,s0,heterophily_rewire_nonoracle,secgfd,train_clean_eval_all,f1_macro,False,0.20607884738528975,0.00022850806863817597,0.20562243191756346,0.20652398699306587,0.6869294912842993,0.0007616935621272547,0.6854081063918782,0.6884132899768862,3
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,roc_auc,True,0.22223913923918326,0.001748067031425485,0.2188158681153457,0.22556675462089956,0.7407971307972776,0.005826890104751619,0.7293862270511524,0.7518891820696653,3
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,roc_auc,True,0.22535364006386094,0.0006217755957820062,0.22417070459019506,0.22661331603461266,0.7511788002128699,0.0020725853192733543,0.7472356819673169,0.7553777201153756,3
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,roc_auc,True,0.24189657942659104,0.0003766925710218945,0.24115396088724686,0.24268075838759723,0.8063219314219702,0.0012556419034063153,0.8038465362908228,0.8089358612919908,3
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,roc_auc,True,0.23073854270440153,0.00047721325705024983,0.22982334183252678,0.2316650524683949,0.7691284756813385,0.0015907108568341665,0.7660778061084227,0.7722168415613163,3
yelpchi,s0,camouflage_feature_oracle,mlp,train_clean_eval_all,average_precision,True,0.10790845437536865,0.0032450411608524977,0.10161441218503962,0.11409830776054404,0.3596948479178955,0.010816803869508328,0.3387147072834654,0.3803276925351468,3
yelpchi,s0,camouflage_feature_oracle,sage,train_clean_eval_all,average_precision,True,0.11569432383200459,0.0010679498170348572,0.11359206819174605,0.1177880453242015,0.385647746106682,0.0035598327234495236,0.37864022730582014,0.3926268177473384,3
yelpchi,s0,camouflage_feature_oracle,pmp,train_clean_eval_all,average_precision,True,0.1530151758492852,0.0008183709246147436,0.1514162084020397,0.15455877044676278,0.510050586164284,0.002727903082049146,0.5047206946734657,0.5151959014892092,3
yelpchi,s0,camouflage_feature_oracle,secgfd,train_clean_eval_all,average_precision,True,0.12757136563836058,0.0004763428949834362,0.1266397324722829,0.12851673089593674,0.42523788546120195,0.001587809649944787,0.4221324415742764,0.4283891029864558,3
